Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Tanyarl,@tanyakanrl,2023-10-09T09:55:00.000Z,True, absen dulu tim bekasi mana suaranya,0,0,1,23,[],[],['\\U0001f49a'],https://pbs.twimg.com/profile_images/1406236086884462593/KTECvoQx_normal.jpg,https://twitter.com/tanyakanrl/status/1711319340954615884,tweet_id:1711319340954615884
ON,@lapakdeobi,2023-10-09T09:53:47.000Z,False,tbsell! yuk diangkutt negotiable dom bekasi ,0,0,0,32,[],['@nwjnsxls'],[],https://pbs.twimg.com/profile_images/1305853062720835586/2VHHIOnX_normal.jpg,https://twitter.com/lapakdeobi/status/1711319034728493144,tweet_id:1711319034728493144
Its.me,@Itsonlymemine,2023-10-09T09:53:46.000Z,False,Semoga bisa nular ke bekasi ya nder,0,0,0,15,[],[],['\\U0001f97a'],https://pbs.twimg.com/profile_images/1629889147837231105/uQsE-GoD_normal.jpg,https://twitter.com/Itsonlymemine/status/1711319031968616882,tweet_id:1711319031968616882
ON,@lapakdeobi,2023-10-09T09:53:47.000Z,False,tbsell! yuk diangkutt negotiable dom bekasi ,0,0,0,32,[],['@nwjnsxls'],[],https://pbs.twimg.com/profile_images/1305853062720835586/2VHHIOnX_normal.jpg,https://twitter.com/lapakdeobi/status/1711319034728493144,tweet_id:1711319034728493144
les bahasa korea & steril kucing,@jjeongguko,2023-10-09T09:52:32.000Z,False,"luna juga udah disteril~

tags info steril murah subsidi jakarta bekasi depok bogor tangerang medan bali malang ciledug karawaci tambun semarang madiun tegal solo",0,0,0,3,[],[],[],https://pbs.twimg.com/profile_images/1360807441026359297/ekDsmEYL_normal.jpg,https://twitter.com/jjeongguko/status/1711318721996976317,tweet_id:1711318721996976317
