Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
GUIS,@FOOD_FESS,2023-10-09T09:44:16.000Z,True,"Harga mulai dari 35k aja GUIS  yg mau order BURNT CHEESECAKE, CHIFFON, BROWNIES dan PIE, bisa dm ig/x atau wa kontak tertera yad
Dom.BEKASI, aman kirim ke luar kota via reg. Bisa shopee juga ya ",0,0,0,4,[],[],"['\\U0001f389', '\\u270c', '\\U0001f973']",https://pbs.twimg.com/profile_images/1475459335706726401/hqyNcS9F_normal.jpg,https://twitter.com/FOOD_FESS/status/1711316641869676794,tweet_id:1711316641869676794
ilsa,@ilsaevangeline,2023-10-09T09:44:01.000Z,False,"Kak aku mau kalau boleh, domisili aku di bekasi barat",0,0,0,1,[],[],[],https://pbs.twimg.com/profile_images/707956012934762496/UPxsM9J2_normal.jpg,https://twitter.com/ilsaevangeline/status/1711316579647156378,tweet_id:1711316579647156378
link syopi di bio,@gurllstufff,2023-10-09T09:43:34.000Z,False,"halo aku ada kak 169k, bisa pake voucher shopee live jadi 135k ya. dom bekasi ",0,0,0,3,[],[],['\\u2728'],https://pbs.twimg.com/profile_images/1608720807928422400/tICCYFuc_normal.jpg,https://twitter.com/gurllstufff/status/1711316463137829282,tweet_id:1711316463137829282
Boom,@Boomie12_,2023-10-09T09:42:45.000Z,False,Chanyeol love shot nih nder dom Bekasi,0,0,0,3,[],[],[],https://pbs.twimg.com/profile_images/1707140638280650752/LwmL_iIb_normal.jpg,https://twitter.com/Boomie12_/status/1711316258451599411,tweet_id:1711316258451599411
dra⁷•ʟᴀʏᴏ(ꪜ)ᴇʀ,@Tehavi_thv,2023-10-09T09:42:12.000Z,True,Bekasi belum hujan,0,0,0,6,[],[],[],https://pbs.twimg.com/profile_images/1703044863959441408/14JjT-gx_normal.jpg,https://twitter.com/Tehavi_thv/status/1711316119804694695,tweet_id:1711316119804694695
