Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
GUIS,@FOOD_FESS,2023-10-09T09:44:16.000Z,True,"Harga mulai dari 35k aja GUIS  yg mau order BURNT CHEESECAKE, CHIFFON, BROWNIES dan PIE, bisa dm ig/x atau wa kontak tertera yad
Dom.BEKASI, aman kirim ke luar kota via reg. Bisa shopee juga ya ",0,0,0,0,[],[],"['\\U0001f389', '\\u270c', '\\U0001f973']",https://pbs.twimg.com/profile_images/1475459335706726401/hqyNcS9F_normal.jpg,https://twitter.com/FOOD_FESS/status/1711316641869676794,tweet_id:1711316641869676794
ilsa,@ilsaevangeline,2023-10-09T09:44:01.000Z,False,"Kak aku mau kalau boleh, domisili aku di bekasi barat",0,0,0,1,[],[],[],https://pbs.twimg.com/profile_images/707956012934762496/UPxsM9J2_normal.jpg,https://twitter.com/ilsaevangeline/status/1711316579647156378,tweet_id:1711316579647156378
