Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
ON,@lapakdeobi,2023-10-09T09:53:47.000Z,False,tbsell! yuk diangkutt negotiable dom bekasi ,0,0,0,4,[],['@nwjnsxls'],[],https://pbs.twimg.com/profile_images/1305853062720835586/2VHHIOnX_normal.jpg,https://twitter.com/lapakdeobi/status/1711319034728493144,tweet_id:1711319034728493144
Its.me,@Itsonlymemine,2023-10-09T09:53:46.000Z,False,Semoga bisa nular ke bekasi ya nder,0,0,0,2,[],[],['\\U0001f97a'],https://pbs.twimg.com/profile_images/1629889147837231105/uQsE-GoD_normal.jpg,https://twitter.com/Itsonlymemine/status/1711319031968616882,tweet_id:1711319031968616882
les bahasa korea & steril kucing,@jjeongguko,2023-10-09T09:52:32.000Z,False,"luna juga udah disteril~

tags info steril murah subsidi jakarta bekasi depok bogor tangerang medan bali malang ciledug karawaci tambun semarang madiun tegal solo",0,0,0,2,[],[],[],https://pbs.twimg.com/profile_images/1360807441026359297/ekDsmEYL_normal.jpg,https://twitter.com/jjeongguko/status/1711318721996976317,tweet_id:1711318721996976317
Who am i ??,@aidyamoon,2023-10-09T09:52:28.000Z,True,Bekasi oh bekasi kapan ujannya ya ,0,0,0,1,[],[],"['\\U0001f643', '\\U0001f643']",https://pbs.twimg.com/profile_images/1302583902863646721/Zh_oeUpc_normal.jpg,https://twitter.com/aidyamoon/status/1711318703659532778,tweet_id:1711318703659532778
calon anak bekasi,@dexoxoz,2023-10-09T09:52:27.000Z,False,pusing:(,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1639339557203369985/0YxJ453-_normal.jpg,https://twitter.com/dexoxoz/status/1711318701822406877,tweet_id:1711318701822406877
