Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
"kiyo, danusan",@hyuckstaa,2023-10-09T09:38:23.000Z,False,nih kakk dom bekasi,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1709201871251116032/VobJilYP_normal.jpg,https://twitter.com/hyuckstaa/status/1711315159711617535,tweet_id:1711315159711617535
oksippp,@sipokeydeh,2023-10-09T09:38:22.000Z,False,Tdr siang malah mimpi dikejar setan. Bangun2 udah gerah grgr bekasi panas jd bikin rasanya tambah capek sm lemes. Hhhhhh,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1633095393847418880/XmRk5xx0_normal.jpg,https://twitter.com/sipokeydeh/status/1711315154603045040,tweet_id:1711315154603045040
ִ ࣪𖤐‧,@halcyonied,2023-10-09T09:38:02.000Z,False,gw tgl 15 ke bekasi tgl 16 ke bogor tgl 16 ke bakasi lg alias gw ada reuni angkata ,1,0,0,0,[],[],['\\U0001fae0'],https://pbs.twimg.com/profile_images/1708137816386068480/xhFNjk5t_normal.jpg,https://twitter.com/halcyonied/status/1711315070020616680,tweet_id:1711315070020616680
Elsa,@hazelsandpine,2023-10-09T09:37:49.000Z,False,dom bekasi ,0,0,0,0,[],[],['\\U0001faf6'],https://pbs.twimg.com/profile_images/1610248290507055110/YIoKUoCj_normal.jpg,https://twitter.com/hazelsandpine/status/1711315018749546525,tweet_id:1711315018749546525
"kiyo, danusan",@hyuckstaa,2023-10-09T09:38:23.000Z,False,nih kakk dom bekasi,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1709201871251116032/VobJilYP_normal.jpg,https://twitter.com/hyuckstaa/status/1711315159711617535,tweet_id:1711315159711617535
